filename, language, Markdown, Django txt, Ignore, Ruby, Python, JSON, Django HTML, CSS, JavaScript, XML, comment, blank, total
server\expenses_app\core\tests\migrations\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
server\expenses_app\core\tests\test_admin.py, Python, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 9, 41
server\expenses_app\core\tests\test_models.py, Python, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 6, 13, 67
server\expenses_app\expenses_app\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
server\expenses_app\expenses_app\settings.py, Python, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 44, 35, 161
server\expenses_app\expenses_app\urls.py, Python, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
server\expenses_app\expenses_app\wsgi.py, Python, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 8, 5, 17
server\expenses_app\manage.py, Python, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 5, 22
server\expenses_app\user\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
server\expenses_app\user\apps.py, Python, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 6
server\expenses_app\user\serializers.py, Python, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 5, 13, 57
server\expenses_app\user\tests\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
server\expenses_app\user\tests\test_user_api.py, Python, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 14, 34, 171
server\expenses_app\user\urls.py, Python, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
server\expenses_app\user\views.py, Python, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 8, 27
Total, -, 37, 4, 13, 6, 774, 13560, 41, 19, 242, 300, 159, 358, 15513
